Homework 1,Homework 2,Homework 3,Homework 4,Homework 5,Homework 6,Lab 02,Lab 03,Lab 04,Lab 05,Lab 06,Lab 07,Lab 08,Lab 09,Lab 10,Lab 11,Lab 12,Lab 13,Lab 14,Lab 15,Lab 16,Lab 17,Project 1,Project 2A,Project 2B,Project 3,Midterm 1,Midterm 2,Midterm 2 Grade
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,40.0,40.0,A+
50,50,50,50,50.0,50,20.0,15.0,20,17.31,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,40.0,44.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,37.0,45.0,A+
0,50,0,0,50.0,0,20.0,0.0,20,14.35,0,0,0,0,0,0.0,0,0,20,20,8,20,0,0.0,0.0,0.0,15.0,0.0,E
50,50,50,50,50.0,50,20.0,10.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,36.5,34.0,B
0,50,41,50,0.0,20,10.0,0.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,20,50.0,42.5,100.0,30.0,45.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,40.0,45.0,A+
50,50,50,0,50.0,50,20.0,0.0,0,0.0,0,0,20,0,20,0.0,0,0,0,20,20,20,100,50.0,50.0,100.0,37.0,45.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,10,20,20,20,20,20,100,50.0,50.0,100.0,36.0,45.0,A+
50,50,50,50,50.0,50,0.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,32.0,44.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,37.0,41.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,19.89,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,40.0,45.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,0,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,34.5,42.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,35.0,45.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,38.0,44.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,39.0,45.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,39.0,44.0,A+
50,50,50,50,50.0,0,20.0,15.0,20,20.0,20,20,20,20,20,20.0,20,20,20,0,20,20,100,50.0,50.0,0.0,35.0,38.0,A
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,34.5,43.0,A+
50,50,50,50,50.0,50,20.0,20.0,15,20.0,20,20,20,20,20,0.0,20,20,20,20,20,20,100,50.0,50.0,100.0,35.0,39.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,35.0,30.94,C+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,99.98,27.0,36.0,A-
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,31.0,39.0,A+
50,50,50,50,50.0,50,20.0,0.0,20,20.0,20,20,20,20,20,18.5,20,20,5,10,20,20,100,50.0,50.0,100.0,39.0,45.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,97.91,38.0,45.0,A+
0,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,37.5,50.0,84.11,30.5,39.0,A+
50,0,50,0,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,46.19,35.0,41.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,0,20,20,95,50.0,50.0,100.0,29.5,45.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,0.0,20,20,20,20,20,20,100,50.0,50.0,100.0,36.0,42.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,39.0,45.0,A+
50,50,50,50,50.0,50,0.0,20.0,20,0.0,20,0,20,20,0,20.0,20,20,20,0,20,20,100,50.0,50.0,100.0,32.0,41.0,A+
0,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,34.5,40.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,75.12,30.0,40.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,39.0,45.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,0.0,20,20,20,20,20,15.0,0,20,20,20,20,20,100,50.0,50.0,100.0,40.0,45.0,A+
50,50,28,50,50.0,50,20.0,0.0,20,20.0,20,20,0,20,20,20.0,20,20,20,20,20,20,0,50.0,50.0,100.0,34.0,36.0,A-
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,19.5,20,20,20,20,20,20,100,50.0,50.0,100.0,40.0,44.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,38.5,45.0,A+
50,50,34,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,35.5,45.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,39.0,43.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,30.0,44.0,A+
0,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,37.5,42.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,0,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,29.5,37.0,A-
50,50,50,50,50.0,50,7.5,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,35.0,43.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,0.0,20,20,20,20,4,20,100,50.0,50.0,100.0,21.0,21.0,E
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,39.0,45.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,0,3.0,20,20,20,20,20,20,100,50.0,50.0,97.75,40.0,45.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,40.0,43.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,39.0,43.0,A+
0,50,0,0,0.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,0,0,0,0,20,100,0.0,0.0,83.61,31.0,31.0,C+
50,50,50,50,50.0,50,20.0,20.0,20,17.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,37.0,45.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,19.95,20,4,20,20,20,17.5,20,20,20,20,12,20,100,50.0,50.0,100.0,40.0,44.0,A+
50,50,41,0,49.6,0,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,80.43,32.0,26.0,D
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,39.0,44.0,A+
30,50,50,50,0.0,0,20.0,15.0,20,19.55,20,0,20,20,20,20.0,20,20,0,20,20,20,100,50.0,50.0,0.0,27.5,0.0,E
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,29.0,45.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,0,20,20,100,50.0,50.0,100.0,29.5,37.0,A-
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,33.0,43.0,A+
35,50,40,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,78.56,38.0,36.0,A-
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,95.0,32.0,45.0,A+
50,50,44,50,50.0,0,20.0,20.0,0,11.04,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,39.0,35.0,B+
40,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,14.5,20,20,20,20,20,20,100,50.0,50.0,100.0,40.0,44.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,37.0,44.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,40.0,44.0,A+
0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,E
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,24.0,43.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,38.0,43.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,37.0,43.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,0,20,20,20,100,50.0,50.0,100.0,38.0,40.0,A+
35,50,50,50,50.0,50,20.0,20.0,20,12.83,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,37.0,43.0,A+
50,50,22,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,71.16,38.0,42.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,32.0,36.0,A-
35,50,50,50,26.96,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,0,20,20,20,20,20,80,50.0,50.0,100.0,32.0,38.0,A
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,39.0,45.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,36.5,40.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,0,20,20,20,20.0,20,20,20,20,20,20,75,50.0,50.0,100.0,34.0,39.0,A+
0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,31.0,0.0,E
50,50,50,50,50.0,50,5.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,38.5,44.0,A+
50,50,50,32,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,35.0,44.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,30.0,45.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,39.0,44.0,A+
0,0,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,10.0,20,20,20,20,20,20,0,50.0,45.0,100.0,19.0,20.0,E
0,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,35.0,45.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,39.0,45.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,28.5,42.0,A+
5,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,38.0,40.0,A+
50,50,50,50,50.0,50,20.0,15.0,20,20.0,20,20,20,20,20,10.0,20,20,20,20,20,20,100,50.0,50.0,100.0,40.0,43.0,A+
0,50,28,50,0.0,0,20.0,20.0,20,20.0,20,20,20,20,20,0.0,10,7,0,0,4,0,80,50.0,50.0,0.0,37.0,42.0,A+
25,50,50,50,0.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,42.5,75.53,31.0,29.0,C-
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,0,0,20,20,100,50.0,50.0,76.67,36.0,42.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,35.0,44.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,37.0,45.0,A+
50,50,50,50,50.0,0,0.0,20.0,20,20.0,20,20,0,0,20,0.0,20,20,20,20,20,20,100,50.0,50.0,100.0,37.0,45.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,27.0,45.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,40.0,44.0,A+
50,50,50,50,50.0,0,20.0,20.0,20,17.24,0,0,0,20,0,0.0,0,20,0,20,0,20,100,50.0,50.0,0.0,37.0,32.0,B-
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,40.0,43.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,6,20,20,20,14.5,20,20,20,8,8,18,100,50.0,50.0,100.0,35.0,38.0,A
35,50,50,50,50.0,50,20.0,20.0,20,20.0,20,0,20,20,20,20.0,0,20,20,20,20,20,100,50.0,50.0,100.0,36.0,40.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,37.0,45.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,39.0,44.0,A+
35,50,50,50,50.0,0,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,8,12,0,100,50.0,50.0,0.0,35.0,42.0,A+
35,50,50,50,36.23,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,32.5,45.0,A+
35,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,0.0,20,20,20,20,20,20,100,50.0,0.0,100.0,40.0,45.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,0.33,20,6,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,38.0,40.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,19.89,20,20,20,20,20,14.5,20,20,20,20,20,20,100,50.0,50.0,100.0,37.0,42.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,40.0,42.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,40.0,45.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,39.0,45.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,40.0,45.0,A+
35,50,50,50,0.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,0.0,38.0,41.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,38.0,42.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,38.0,45.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,37.0,45.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,19.9,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,40.0,42.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,34.0,44.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,18.0,20,20,20,20,20,20,100,50.0,50.0,100.0,39.0,44.0,A+
35,0,50,28,50.0,50,20.0,20.0,20,20.0,20,20,20,0,20,0.0,20,20,20,0,20,20,100,50.0,50.0,100.0,38.0,41.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,40.0,45.0,A+
50,50,50,50,50.0,50,0.0,0.0,0,0.3,7,0,0,10,0,11.0,20,20,20,20,20,20,100,50.0,50.0,100.0,26.5,45.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,39.0,45.0,A+
30,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,32.0,34.0,B
35,50,50,50,50.0,0,0.0,20.0,20,20.0,20,20,20,10,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,32.0,44.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,39.0,41.0,A+
50,50,50,50,50.0,50,20.0,20.0,15,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,38.0,40.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,19.5,20,20,20,20,20,20,100,50.0,50.0,100.0,35.0,37.0,A-
50,50,50,50,50.0,50,20.0,17.5,20,0.0,20,20,20,20,20,20.0,20,20,15,20,20,20,100,50.0,50.0,100.0,34.0,43.0,A+
30,50,50,50,50.0,50,0.0,15.0,12,17.88,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,37.0,43.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,31.0,34.0,B
45,50,0,0,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,55,50.0,50.0,100.0,39.0,45.0,A+
20,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,20,20,100,50.0,50.0,100.0,26.0,41.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,0,20,20,20,20,20.0,20,0,20,20,20,20,100,50.0,50.0,100.0,38.0,44.0,A+
50,50,50,50,50.0,50,20.0,20.0,20,20.0,20,20,20,20,20,20.0,20,20,20,20,16,20,100,50.0,50.0,100.0,40.0,44.0,A+
