Homework 1,Homework 2,Homework 3,Lab 02,Lab 03,Lab 04,Lab 05,Lab 06,Lab 07,Lab 08,Lab 09,Lab 10,Project 1,Project 2A,Midterm 1,Midterm 1 Grade
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,39.0,A+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,38.0,A
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
50,50,44,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,38.0,A
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,34.0,B
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
0,50,0,20.0,20.0,20,20.0,20,20,20,20,20,35,0.0,32.5,B-
50,50,50,20.0,20.0,20,20.0,20,20,20,0,20,100,50.0,36.5,A-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
20,20,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,26.5,D
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,38.0,A
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,36.0,A-
0,0,0,20.0,20.0,0,20.0,0,20,20,20,20,0,0.0,30.5,C
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,35.0,B+
50,50,50,0.0,20.0,20,20.0,20,20,20,20,20,60,50.0,36.5,A-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,36.0,A-
25,50,40,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,35.5,B+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,0,100,50.0,39.0,A+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,37.0,A-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
50,50,50,17.5,20.0,20,0.0,20,20,20,0,20,100,50.0,35.0,B+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,34.5,B
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,38.0,A
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,36.5,A-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,37.0,A-
50,50,50,0.0,20.0,20,20.0,0,20,20,20,20,0,50.0,32.0,B-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,33.5,B-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
50,0,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,25.0,D-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,30.5,C
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,33.0,B-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,34.5,B
50,50,50,20.0,20.0,20,20.0,20,0,20,20,20,100,50.0,25.5,D-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,37.5,A-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,39.0,A+
30,50,50,20.0,20.0,20,18.83,17,0,20,20,8,100,50.0,25.5,D-
35,50,50,20.0,0.0,20,8.38,20,20,20,20,20,100,50.0,39.0,A+
50,0,0,20.0,20.0,0,13.87,20,20,20,0,20,100,0.0,0.0,E
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,39.0,A+
50,50,50,0.0,20.0,20,20.0,20,20,20,20,20,100,50.0,31.5,C+
0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,E
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,34.0,B
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
50,50,50,20.0,20.0,20,20.0,20,4,20,20,20,100,50.0,36.0,A-
50,50,50,20.0,20.0,20,20.0,0,20,20,20,20,100,50.0,37.0,A-
50,50,50,0.0,20.0,20,20.0,0,0,0,20,20,100,50.0,37.0,A-
50,50,50,20.0,15.0,20,20.0,20,10,20,20,20,100,50.0,40.0,A+
0,50,50,20.0,0.0,20,20.0,20,0,0,20,20,100,50.0,30.5,C
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,38.0,A
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,28.0,C-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,37.0,A-
45,50,50,20.0,20.0,20,19.89,20,0,20,20,20,100,50.0,30.0,C
50,50,0,20.0,20.0,20,20.0,20,20,0,0,20,100,50.0,29.0,C-
0,50,50,20.0,20.0,20,20.0,20,20,20,0,20,100,42.5,33.0,B-
0,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,23.5,E
50,40,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,36.0,A-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,34.5,B
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,34.5,B
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,34.0,B
0,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,26.5,D
50,0,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,37.0,A-
50,50,50,10.0,20.0,20,20.0,20,20,20,20,20,100,50.0,32.0,B-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,38.0,A
50,50,32,20.0,20.0,20,20.0,20,20,20,20,20,95,50.0,30.5,C
35,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
0,50,0,20.0,20.0,0,0.0,0,20,20,0,20,100,50.0,28.5,C-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,37.0,A-
35,50,50,20.0,20.0,0,20.0,20,20,20,20,20,100,50.0,18.5,E
50,50,40,20.0,15.0,20,7.02,20,20,20,20,20,100,50.0,35.0,B+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,37.0,A-
50,50,50,20.0,20.0,20,20.0,20,0,20,20,20,100,50.0,38.0,A
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,35.0,B+
50,50,50,0.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,95,50.0,35.0,B+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,95,50.0,40.0,A+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,28.0,C-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,32.0,B-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,38.5,A
50,50,50,20.0,20.0,20,20.0,20,20,20,0,20,100,50.0,37.0,A-
50,50,50,20.0,20.0,20,18.14,20,20,20,20,20,100,50.0,38.0,A
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
50,50,50,20.0,20.0,0,20.0,20,20,20,20,0,100,50.0,40.0,A+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,39.0,A+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,95,50.0,27.5,D+
35,0,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,32.0,B-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,38.0,A
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,35.0,B+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,37.0,A-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
50,50,44,20.0,15.0,20,20.0,20,20,20,20,20,100,50.0,37.0,A-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,34.0,B
50,50,50,2.5,20.0,20,20.0,20,20,20,20,20,100,50.0,37.0,A-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,37.0,A-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,34.5,B
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,26.0,D
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
0,50,0,20.0,0.0,20,20.0,20,20,20,20,0,60,0.0,38.0,A
50,50,50,20.0,0.0,20,20.0,20,20,20,20,20,100,50.0,28.0,C-
50,50,50,0.0,20.0,0,20.0,20,20,20,20,0,100,50.0,38.0,A
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,38.0,A
50,50,44,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,36.0,A-
0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,E
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
0,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,39.0,A+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,33.0,B-
50,0,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,38.5,A
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
30,50,50,20.0,20.0,20,20.0,0,0,20,20,16,100,50.0,30.5,C
50,50,44,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,39.0,A+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,36.5,A-
50,50,50,20.0,0.0,20,20.0,20,20,20,0,0,100,50.0,38.0,A
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,35.0,B+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,34.0,B
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,39.0,A+
30,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,29.0,C-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,32.5,B-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,37.0,A-
0,0,0,0.0,0.0,0,20.0,0,20,20,0,0,100,50.0,35.0,B+
50,50,50,20.0,20.0,20,19.89,20,20,20,20,20,100,50.0,40.0,A+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,38.0,A
50,50,44,20.0,20.0,20,20.0,20,20,20,0,20,100,50.0,35.0,B+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,37.0,A-
50,50,50,0.0,20.0,20,20.0,20,20,20,20,20,100,50.0,34.0,B
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,37.0,A-
50,50,0,20.0,20.0,3,20.0,20,20,20,20,0,100,50.0,36.0,A-
50,50,50,2.5,20.0,20,20.0,20,20,20,20,20,100,50.0,35.0,B+
30,50,50,20.0,20.0,20,20.0,20,20,0,20,20,80,45.0,39.0,A+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
50,50,50,20.0,20.0,20,20.0,20,14,20,20,20,100,50.0,39.0,A+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,37.0,A-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,45.0,32.5,B-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,0,100,50.0,38.0,A
50,0,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,39.0,A+
50,50,50,20.0,20.0,20,20.0,20,20,20,0,20,100,50.0,37.0,A-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,39.0,A+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,38.0,A
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
0,50,50,20.0,0.0,20,19.91,7,0,20,20,0,100,50.0,40.0,A+
50,50,50,0.0,20.0,0,20.0,20,20,20,20,20,100,50.0,36.0,A-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,36.5,A-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,37.5,A-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,39.0,A+
50,50,50,0.0,20.0,20,20.0,20,20,20,20,20,100,50.0,35.0,B+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,36.0,A-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,80,50.0,40.0,A+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,36.0,A-
50,50,50,20.0,20.0,20,0.0,20,20,20,20,20,100,50.0,40.0,A+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
50,50,50,0.0,20.0,20,20.0,20,20,20,20,20,100,50.0,37.5,A-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
50,0,50,0.0,20.0,20,20.0,20,20,20,20,20,100,50.0,36.5,A-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,37.0,A-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
50,50,50,20.0,20.0,20,0.0,20,20,20,20,20,100,50.0,34.5,B
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
30,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,35.0,B+
50,0,0,0.0,0.0,0,0.0,0,0,0,0,0,100,50.0,0.0,E
50,50,50,10.0,0.0,0,20.0,20,20,20,20,20,100,50.0,34.5,B
50,50,50,10.0,20.0,20,20.0,20,4,20,20,20,100,50.0,40.0,A+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,36.0,A-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,80,50.0,30.5,C
50,50,50,2.5,20.0,20,20.0,20,20,20,20,20,100,50.0,38.0,A
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
45,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,33.0,B-
50,50,50,20.0,20.0,20,20.0,20,10,20,20,20,100,50.0,38.0,A
50,50,50,0.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,37.0,A-
0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,100,50.0,40.0,A+
50,50,50,20.0,0.0,20,20.0,20,0,20,20,20,100,50.0,30.0,C
50,50,50,20.0,20.0,20,20.0,20,20,0,20,20,100,50.0,29.0,C-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,35.0,B+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,37.0,A-
50,50,50,0.0,20.0,20,20.0,20,20,20,20,20,100,50.0,39.0,A+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,30.0,C
0,0,0,0.0,20.0,20,20.0,20,20,20,0,20,50,0.0,28.5,C-
0,50,50,20.0,20.0,20,20.0,20,0,20,20,20,100,50.0,30.5,C
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,37.0,A-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,34.0,B
50,50,47,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,36.5,A-
50,50,50,20.0,0.0,0,20.0,20,20,20,20,20,100,50.0,34.0,B
35,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,34.5,B
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,32.5,B-
50,50,50,20.0,20.0,20,19.98,20,20,20,20,20,100,50.0,24.0,D-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,40.0,A+
50,50,50,20.0,20.0,20,20.0,20,0,20,20,20,80,50.0,31.5,C+
50,50,50,10.0,20.0,20,20.0,20,20,20,20,20,100,50.0,35.0,B+
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,36.0,A-
50,50,50,20.0,20.0,20,20.0,20,20,20,20,20,100,50.0,39.0,A+
50,50,50,15.0,10.0,20,20.0,20,20,20,20,20,100,50.0,33.0,B-
50,50,50,20.0,10.0,20,20.0,20,20,20,20,20,100,50.0,38.0,A
50,50,50,20.0,20.0,20,20.0,20,20,0,20,20,100,50.0,34.5,B
