Lab 02 (820171),Lab 03 (820172),Lab 04 (820173),Lab 05 (820174),Lab 06 (820175),Lab 07 (820176),Lab 08 (820177),Lab 09 (820178),Lab 10 (820179),Lab 11 (820180),Lab 12 (820181),Lab 13 (820182),Lab 14 (820183),Lab 15 (820184),Lab 16 (820185),Lab 17 (820186),Homework 1 (820163),Homework 2 (820164),Homework 3 (820165),Homework 4 (820211),Homework 5 (820166),Homework 6 (820167),Project 1 (820193),Project 2A (820194),Project 2B (820195),Project 3 (820196),Extra Credit (838909),Midterm 1 (820191),Midterm 2 (820192),Extra Credit Current Score,Extra Credit Unposted Current Score,Extra Credit Final Score,Extra Credit Unposted Final Score,Final Score,Final Grade
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,0,40,40,(read only),(read only),(read only),(read only),(read only),(read only)
20,15,20,17.31,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,40,44,,,0,0,92.13,A-
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,37,45,,,0,0,98.25,A
20,0,20,14.35,0,0,0,0,0,0,0,0,20,20,8,20,0,50,0,0,50,0,0,0,0,0,,15,0,,,0,0,14.06,E
20,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,36.5,34,,,0,0,93.94,A
10,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,50,41,50,0,20,20,50,42.5,100,,30,45,100,100,100,100,83.34,B
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,40,45,100,100,100,100,105.31,A
20,0,0,0,0,0,20,0,20,0,0,0,0,20,20,20,50,50,50,0,50,50,100,50,50,100,,37,45,,,0,0,92.21,A-
20,20,20,20,20,20,20,20,20,20,10,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,36,45,,,0,0,94.28,A
0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,32,44,100,100,100,100,99.75,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,37,41,,,0,0,93,A
20,20,20,19.89,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,40,45,,,0,0,100.63,A
20,20,20,20,0,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,10,34.5,42,,,0,0,94,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,35,45,,,0,0,96.88,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,38,44,,,0,0,98.88,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,39,45,,,0,0,99.63,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,39,44,,,0,0,99.88,A
20,15,20,20,20,20,20,20,20,20,20,20,20,0,20,20,50,50,50,50,50,0,100,50,50,0,,35,38,,,0,0,84.88,B
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,34.5,43,,,0,0,94.38,A
20,20,15,20,20,20,20,20,20,0,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,35,39,,,0,0,88.38,B+
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,35,30.94,,,0,0,88.17,B+
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,99.98,,27,36,,,0,0,88.15,B+
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,31,39,,,0,0,85.63,B
20,0,20,20,20,20,20,20,20,18.5,20,20,5,10,20,20,50,50,50,50,50,50,100,50,50,100,,39,45,,,0,0,98.83,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,97.91,,38,45,,,0,0,89.12,B+
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,50,50,50,50,50,100,37.5,50,84.11,,30.5,39,,,0,0,90.23,A-
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,0,50,0,50,50,100,50,50,46.19,,35,41,,,0,0,82.12,B-
20,20,20,20,20,20,20,20,20,20,20,20,20,0,20,20,50,50,50,50,50,50,95,50,50,100,,29.5,45,,,0,0,89.19,B+
20,20,20,20,20,20,20,20,20,0,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,36,42,,,0,0,94.2,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,39,45,,,0,0,99,A
0,20,20,0,20,0,20,20,0,20,20,20,20,0,20,20,50,50,50,50,50,50,100,50,50,100,,32,41,,,0,0,88.16,B+
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,50,50,50,50,50,100,50,50,100,,34.5,40,,,0,0,92,A-
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,75.12,,30,40,,,0,0,90.01,A-
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,39,45,,,0,0,98.69,A
20,20,20,0,20,20,20,20,20,15,0,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,40,45,,,0,0,97.08,A
20,0,20,20,20,20,0,20,20,20,20,20,20,20,20,20,50,50,28,50,50,50,0,50,50,100,,34,36,,,0,0,85.78,B
20,20,20,20,20,20,20,20,20,19.5,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,40,44,,,0,0,99.31,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,38.5,45,,,0,0,98.19,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,34,50,50,50,100,50,50,100,,35.5,45,,,0,0,97.69,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,39,43,,,0,0,99.81,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,30,44,,,0,0,94.94,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,50,50,50,50,50,100,50,50,100,,37.5,42,,,0,0,92.63,A-
20,20,20,20,20,20,20,0,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,29.5,37,,,0,0,89.31,B+
7.5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,35,43,,,0,0,94.25,A
20,20,20,20,20,20,20,20,20,0,20,20,20,20,4,20,50,50,50,50,50,50,100,50,50,100,,21,21,,,0,0,80.13,B-
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,39,45,,,0,0,97.44,A
20,20,20,20,20,20,20,20,0,3,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,97.75,,40,45,,,0,0,101.11,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,40,43,,,0,0,100.81,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,39,43,,,0,0,97,A
20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,20,0,50,0,0,0,50,100,0,0,83.61,,31,31,,,0,0,65.71,D
20,20,20,17,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,37,45,,,0,0,97.94,A
20,20,20,19.95,20,4,20,20,20,17.5,20,20,20,20,12,20,50,50,50,50,50,50,100,50,50,100,,40,44,,,0,0,97.64,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,41,0,49.6,0,100,50,50,80.43,,32,26,,,0,0,81.57,B-
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,39,44,,,0,0,98.63,A
20,15,20,19.55,20,0,20,20,20,20,20,20,0,20,20,20,30,50,50,50,0,0,100,50,50,0,,27.5,0,,,0,0,43.59,E
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,29,45,,,0,0,93.69,A
20,20,20,20,20,20,20,20,20,20,20,20,20,0,20,20,50,50,50,50,50,50,100,50,50,100,,29.5,37,,,0,0,91.03,A-
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,33,43,,,0,0,95.06,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,35,50,40,50,50,50,100,50,50,78.56,,38,36,,,0,0,87.17,B+
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,95,,32,45,,,0,0,95.75,A
20,20,0,11.04,20,20,20,20,20,20,20,20,20,20,20,20,50,50,44,50,50,0,100,50,50,100,,39,35,,,0,0,93.18,A
20,20,20,20,20,20,20,20,20,14.5,20,20,20,20,20,20,40,50,50,50,50,50,100,50,50,100,,40,44,,,0,0,97.13,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,37,44,,,0,0,94.13,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,40,44,100,100,100,100,106.19,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,E
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,24,43,,,0,0,89.5,B+
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,38,43,,,0,0,97.25,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,37,43,,,0,0,95.94,A
20,20,20,20,20,20,20,20,20,20,20,20,0,20,20,20,50,50,50,50,50,50,100,50,50,100,,38,40,,,0,0,94.25,A
20,20,20,12.83,20,20,20,20,20,20,20,20,20,20,20,20,35,50,50,50,50,50,100,50,50,100,,37,43,,,0,0,96.56,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,22,50,50,50,100,50,50,71.16,,38,42,100,100,100,100,101.73,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,32,36,,,0,0,89.25,B+
20,20,20,20,20,20,20,20,20,20,0,20,20,20,20,20,35,50,50,50,26.96,50,80,50,50,100,,32,38,,,0,0,84.34,B
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,39,45,,,0,0,99,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,36.5,40,100,100,100,100,99.31,A
20,20,20,20,20,0,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,75,50,50,100,,34,39,,,0,0,89.25,B+
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,31,0,,,0,0,11.63,E
5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,38.5,44,,,0,0,95.63,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,32,50,50,100,50,50,100,,35,44,,,0,0,92.13,A-
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,30,45,,,0,0,95.63,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,39,44,,,0,0,98.63,A
20,20,20,20,20,20,20,20,20,10,20,20,20,20,20,20,0,0,50,50,50,50,0,50,45,100,,19,20,,,0,0,64.83,D
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,50,50,50,50,50,100,50,50,100,,35,45,,,0,0,90,A-
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,39,45,,,0,0,98.06,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,28.5,42,,,0,0,90.19,A-
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,5,50,50,50,50,50,100,50,50,100,,38,40,,,0,0,96.44,A
20,15,20,20,20,20,20,20,20,10,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,40,43,,,0,0,98.94,A
20,20,20,20,20,20,20,20,20,0,10,7,0,0,4,0,0,50,28,50,0,0,80,50,50,0,,37,42,,,0,0,77.06,C+
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,50,50,50,0,50,100,50,42.5,75.53,,31,29,,,0,0,81.15,B-
20,20,20,20,20,20,20,20,20,20,20,20,0,0,20,20,50,50,50,50,50,50,100,50,50,76.67,,36,42,,,0,0,89.04,B+
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,35,44,,,0,0,97.13,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,37,45,,,0,0,98.56,A
0,20,20,20,20,20,0,0,20,0,20,20,20,20,20,20,50,50,50,50,50,0,100,50,50,100,,37,45,,,0,0,97.52,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,27,45,,,0,0,92.63,A-
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,40,44,,,0,0,100.25,A
20,20,20,17.24,0,0,0,20,0,0,0,20,0,20,0,20,50,50,50,50,50,0,100,50,50,0,,37,32,,,0,0,78.89,C+
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,40,43,,,0,0,99.25,A
20,20,20,20,20,6,20,20,20,14.5,20,20,20,8,8,18,50,50,50,50,50,50,100,50,50,100,,35,38,,,0,0,92.04,A-
20,20,20,20,20,0,20,20,20,20,0,20,20,20,20,20,35,50,50,50,50,50,100,50,50,100,,36,40,,,0,0,91.73,A-
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,37,45,,,0,0,98.56,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,39,44,,,0,0,99.56,A
20,20,20,20,20,20,20,20,20,20,20,20,20,8,12,0,35,50,50,50,50,0,100,50,50,0,,35,42,,,0,0,61.71,D-
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,35,50,50,50,36.23,50,100,50,50,100,,32.5,45,,,0,0,93.29,A
20,20,20,20,20,20,20,20,20,0,20,20,20,20,20,20,35,50,50,50,50,50,100,50,0,100,,40,45,100,100,100,100,102.19,A
20,20,20,0.33,20,6,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,38,40,,,0,0,95.66,A
20,20,20,19.89,20,20,20,20,20,14.5,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,37,42,100,100,100,100,103.69,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,40,42,100,100,100,100,104.81,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,40,45,100,100,100,100,103.44,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,39,45,,,0,0,97.13,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,40,45,,,0,0,99.38,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,35,50,50,50,0,50,100,50,50,0,,38,41,,,0,0,81.79,B-
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,38,42,,,0,0,97.81,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,38,45,,,0,0,99.25,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,37,45,,,0,0,97.63,A
20,20,20,19.9,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,40,42,,,0,0,99.19,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,34,44,,,0,0,96.75,A
20,20,20,20,20,20,20,20,20,18,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,39,44,,,0,0,100.19,A
20,20,20,20,20,20,20,0,20,0,20,20,20,0,20,20,35,0,50,28,50,50,100,50,50,100,,38,41,,,0,0,88.39,B+
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,40,45,,,0,0,100.63,A
0,0,0,0.3,7,0,0,10,0,11,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,26.5,45,,,0,0,85.39,B
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,39,45,,,0,0,100.88,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,50,50,50,50,50,100,50,50,100,,32,34,,,0,0,84.13,B
0,20,20,20,20,20,20,10,20,20,20,20,20,20,20,20,35,50,50,50,50,0,100,50,50,100,,32,44,,,0,0,91.44,A-
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,39,41,100,100,100,100,104.38,A
20,20,15,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,38,40,,,0,0,90.5,A-
20,20,20,20,20,20,20,20,20,19.5,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,35,37,,,0,0,94.19,A
20,17.5,20,0,20,20,20,20,20,20,20,20,15,20,20,20,50,50,50,50,50,50,100,50,50,100,,34,43,,,0,0,94.71,A
0,15,12,17.88,20,20,20,20,20,20,20,20,20,20,20,20,30,50,50,50,50,50,100,50,50,100,,37,43,,,0,0,98.14,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,31,34,,,0,0,86.25,B
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,45,50,0,0,50,50,55,50,50,100,,39,45,100,100,100,100,98.42,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,100,50,50,100,,26,41,,,0,0,90.75,A-
20,20,20,20,0,20,20,20,20,20,20,0,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,38,44,,,0,0,95.85,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,16,20,50,50,50,50,50,50,100,50,50,100,,40,44,,,0,0,98.06,A
20,20,20,20,20,20,20,20,20,20,20,0,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,40,43,,,0,0,100.19,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,39,44,,,0,0,100.81,A
20,20,20,19.89,20,20,20,20,20,17,20,20,0,20,20,9,50,50,44,50,50,0,100,50,50,100,,30,45,,,0,0,92.44,A-
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,37,41,,,0,0,89.56,B+
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,40,39,,,0,0,98.38,A
20,20,20,19.98,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,99.99,,40,45,,,0,0,95.31,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,45,50,100,,38,43,,,0,0,95.38,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,40,41,,,0,0,98.81,A
20,20,20,0,20,20,20,20,20,20,0,20,20,20,20,20,50,50,50,50,50,50,80,50,50,100,,37.5,43,,,0,0,95.76,A
20,20,20,20,20,0,20,20,20,20,20,20,20,20,20,9,50,50,50,0,50,40,100,50,50,99.99,,38,43,,,0,0,91.6,A-
20,0,20,11,7,20,20,20,20,20,20,20,10,20,20,20,30,50,50,50,0,50,100,50,50,100,,35,40,,,0,0,88.52,B+
20,20,20,8.6,20,20,20,20,20,20,20,20,20,20,20,20,35,50,50,25,50,0,100,20,2,0,,38,44,,,0,0,75.94,C
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,27.89,50,100,50,50,60.16,,34,37,,,0,0,83.2,B
20,0,0,0,0,0,14,0,0,0,0,0,0,0,0,20,50,50,50,0,50,32,95,50,50,100,,39,34,100,100,100,100,89.65,B+
0,20,20,20,20,20,20,0,20,20,20,20,20,20,20,20,30,50,50,50,50,50,100,50,50,75.17,,40,45,,,0,0,96.73,A
20,20,20,20,0,20,0,20,20,9.5,0,20,20,20,4,20,50,50,47,32,50,10,100,45,16.5,100,,37.5,45,,,0,0,84.12,B
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,31.5,39,,,0,0,92.38,A-
0,20,20,20,20,20,20,20,20,20,20,20,20,14,20,20,50,50,50,50,50,50,100,50,50,100,,38,45,,,0,0,98.31,A
20,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,38,45,,,0,0,99.25,A
20,20,20,20,20,20,0,20,20,20,20,20,20,0,20,0,50,50,0,0,50,50,100,50,50,100,,31,45,100,100,100,100,91,A-
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,40,43,,,0,0,99.25,A
20,20,20,20,20,20,20,20,0,20,20,20,20,20,20,0,50,50,50,50,50,50,100,50,50,99.18,,39,44,,,0,0,100.14,A
0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,47.73,50,100,50,50,100,,37,43,,,0,0,94.69,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,18,50,50,50,0,50,50,100,,31,41,100,100,100,100,87.08,B+
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,40,44,50,50,50,50,102.75,A
20,20,20,20,0,0,20,20,20,20,20,20,20,20,20,20,50,0,0,0,50,0,75,50,50,25,,30,39,,,0,0,77.18,C+
20,20,20,20,20,20,20,20,20,20,20,20,10,20,20,20,50,50,50,50,0,50,100,50,50,100,,37,36,,,0,0,93.78,A
20,20,20,20,20,20,20,20,20,0,20,20,20,20,20,20,45,50,10,50,50,50,100,50,35,100,,27.5,45,100,100,100,100,91.4,A-
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,37,43,,,0,0,96.56,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,,40,45,,,0,0,101.56,A
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,92.48,,37,45,,,0,0,96.53,A
