Lab 02 (820171),Lab 03 (820172),Lab 04 (820173),Lab 05 (820174),Lab 06 (820175),Lab 07 (820176),Lab 08 (820177),Lab 09 (820178),Lab 10 (820179),Lab 11 (820180),Lab 12 (820181),Lab 13 (820182),Lab 14 (820183),Lab 15 (820184),Lab 16 (820185),Lab 17 (820186),Lab 20 (820189),Lab 21 (820190),Lab 22 (820187),Lab 23 (820188),Homework 1 (820163),Homework 2 (820164),Homework 3 (820165),Homework 4 (820211),Homework 5 (820166),Homework 6 (820167),Homework 7 (820168),Project 1 (820193),Project 2A (820194),Project 2B (820195),Project 3 (820196),Project 4 (820197),Final Exam (820162)
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,64
20,15,20,17.31,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,0,100,50,50,100,0,54
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,56
20,0,20,14.35,0,0,0,0,0,0,0,0,20,20,8,20,0,0,0,0,0,50,0,0,50,0,0,0,0,0,0,0,0
20,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,56
10,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,50,41,50,0,20,0,20,50,42.5,100,0,53
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,59
20,0,0,0,0,0,20,0,20,0,0,0,0,20,20,20,20,20,20,20,50,50,50,0,50,50,50,100,50,50,100,100,58
20,20,20,20,20,20,20,20,20,20,10,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,62.5,52
0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,52
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,44
20,20,20,19.89,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,60
20,20,20,20,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,65,54
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,54
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,58
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,58
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,60
20,15,20,20,20,20,20,20,20,20,20,20,20,0,20,20,20,20,20,20,50,50,50,50,50,0,50,100,50,50,0,75,49
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,90,51
20,20,15,20,20,20,20,20,20,0,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,25,49
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,43
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,20,20,50,50,50,50,50,50,50,100,50,50,99.98,100,46.5
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,0,50
20,0,20,20,20,20,20,20,20,18.5,20,20,5,10,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,57
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,50,50,50,50,50,50,50,100,50,50,97.91,25,41
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,50,50,50,50,50,50,100,37.5,50,84.11,100,51
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,20,0,20,50,0,50,0,50,50,0,100,50,50,46.19,0,53
20,20,20,20,20,20,20,20,20,20,20,20,20,0,20,20,20,10,20,20,50,50,50,50,50,50,50,95,50,50,100,50,47
20,20,20,20,20,20,20,20,20,0,20,20,20,20,20,20,20,0,20,0,50,50,50,50,50,50,50,100,50,50,100,75,55.5
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,56
0,20,20,0,20,0,20,20,0,20,20,20,20,0,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,75,47.5
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,14,0,50,50,50,50,50,50,100,50,50,100,75,50
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,75.12,100,49
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,55
20,20,20,0,20,20,20,20,20,15,0,20,20,20,20,20,20,20,0,20,50,50,50,50,50,50,50,100,50,50,100,65,59
20,0,20,20,20,20,0,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,28,50,50,50,50,0,50,50,100,100,50.5
20,20,20,20,20,20,20,20,20,19.5,20,20,20,20,20,20,20,20,20,0,50,50,50,50,50,50,50,100,50,50,100,100,57
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,54
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,34,50,50,50,50,100,50,50,100,100,56
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,61
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,55
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,50,50,50,50,50,50,100,50,50,100,100,41
20,20,20,20,20,20,20,0,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,46
7.5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,48
20,20,20,20,20,20,20,20,20,0,20,20,20,20,4,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,46
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,51
20,20,20,20,20,20,20,20,0,3,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,97.75,100,62
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,20,20,50,50,50,50,50,50,50,100,50,50,100,100,63
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,52
20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,20,0,20,0,0,0,50,0,0,0,50,50,100,0,0,83.61,25,43.5
20,20,20,17,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,55
20,20,20,19.95,20,4,20,20,20,17.5,20,20,20,20,12,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,52
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,50,50,41,0,49.6,0,0,100,50,50,80.43,90,49
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,56
20,15,20,19.55,20,0,20,20,20,20,20,20,0,20,20,20,20,20,20,20,30,50,50,50,0,0,0,100,50,50,0,0,0
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,51
20,20,20,20,20,20,20,20,20,20,20,20,20,0,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,51.5
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,53
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,35,50,40,50,50,50,50,100,50,50,78.56,15,52.5
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,95,100,55
20,20,0,11.04,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,44,50,50,0,50,100,50,50,100,100,50
20,20,20,20,20,20,20,20,20,14.5,20,20,20,20,20,20,20,20,20,20,40,50,50,50,50,50,50,100,50,50,100,75,55
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,44
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,50,50,50,50,50,50,50,100,50,50,100,100,63
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,46
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,54
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,51
20,20,20,20,20,20,20,20,20,20,20,20,0,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,48
20,20,20,12.83,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,35,50,50,50,50,50,50,100,50,50,100,75,58
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,20,50,50,22,50,50,50,34,100,50,50,71.16,100,61
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,44
20,20,20,20,20,20,20,20,20,20,0,20,20,20,20,20,0,20,20,20,35,50,50,50,26.96,50,50,80,50,50,100,25,46.5
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,56
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,50
20,20,20,20,20,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,75,50,50,100,50,53
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,47
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,32,50,50,50,100,50,50,100,50,50
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,56
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,56
20,20,20,20,20,20,20,20,20,10,20,20,20,20,20,20,20,20,20,0,0,0,50,50,50,50,50,0,50,45,100,50,37
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,50,50,50,50,50,50,100,50,50,100,15,49
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,53
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,44
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,5,50,50,50,50,50,50,100,50,50,100,100,55
20,15,20,20,20,20,20,20,20,10,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,57
20,20,20,20,20,20,20,20,20,0,10,7,0,0,4,0,20,0,20,20,0,50,28,50,0,0,50,80,50,50,0,15,59
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25,50,50,50,0,50,24,100,50,42.5,75.53,100,39.5
20,20,20,20,20,20,20,20,20,20,20,20,0,0,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,76.67,25,51
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,56
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,57
0,20,20,20,20,20,0,0,20,0,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,0,50,100,50,50,100,100,59
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,50
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,12,50,50,50,50,50,50,50,100,50,50,100,100,60
20,20,20,17.24,0,0,0,20,0,0,0,20,0,20,0,20,0,0,20,0,50,50,50,50,50,0,50,100,50,50,0,100,54
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,50,50,50,50,50,50,50,100,50,50,100,100,58
20,20,20,20,20,6,20,20,20,14.5,20,20,20,8,8,18,20,20,0,0,50,50,50,50,50,50,50,100,50,50,100,100,53
20,20,20,20,20,0,20,20,20,20,0,20,20,20,20,20,20,20,0,20,35,50,50,50,50,50,50,100,50,50,100,40,57
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,50,50,50,50,50,50,50,100,50,50,100,100,57
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,59
20,20,20,20,20,20,20,20,20,20,20,20,20,8,12,0,20,0,0,0,35,50,50,50,50,0,0,100,50,50,0,0,0
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,35,50,50,50,36.23,50,50,100,50,50,100,75,52
20,20,20,20,20,20,20,20,20,0,20,20,20,20,20,20,20,20,20,20,35,50,50,50,50,50,50,100,50,0,100,100,59
20,20,20,0.33,20,6,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,52.5
20,20,20,19.89,20,20,20,20,20,14.5,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,61
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,61
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,53
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,50
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,75,61
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,35,50,50,50,0,50,0,100,50,50,0,0,53.86
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,57
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,58
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,54
20,20,20,19.9,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,59
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,56
20,20,20,20,20,20,20,20,20,18,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,61
20,20,20,20,20,20,20,0,20,0,20,20,20,0,20,20,20,20,20,20,35,0,50,28,50,50,0,100,50,50,100,25,55
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,60
0,0,0,0.3,7,0,0,10,0,11,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,45
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,20,50,50,50,50,50,50,50,100,50,50,100,100,62
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,30,50,50,50,50,50,50,100,50,50,100,0,50
0,20,20,20,20,20,20,10,20,20,20,20,20,20,20,20,20,20,20,20,35,50,50,50,50,0,50,100,50,50,100,50,53
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,42,100,50,50,100,100,62
20,20,15,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,15,53
20,20,20,20,20,20,20,20,20,19.5,20,20,20,20,20,20,20,20,6,20,50,50,50,50,50,50,50,100,50,50,100,100,55
20,17.5,20,0,20,20,20,20,20,20,20,20,15,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,75,56
0,15,12,17.88,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,50,50,50,50,50,50,100,50,50,100,100,59
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,20,6,50,50,50,50,50,50,50,100,50,50,100,50,48
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,45,50,0,0,50,50,50,55,50,50,100,100,53
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,100,50,50,100,100,50
20,20,20,20,0,20,20,20,20,20,20,0,20,20,20,20,0,20,20,20,50,50,50,50,50,50,50,100,50,50,100,65,58
20,20,20,20,20,20,20,20,20,20,20,20,20,20,16,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,53
20,20,20,20,20,20,20,20,20,20,20,0,20,20,20,20,20,20,0,20,50,50,50,50,50,50,50,100,50,50,100,100,61
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,63
20,20,20,19.89,20,20,20,20,20,17,20,20,0,20,20,9,20,0,20,0,50,50,44,50,50,0,50,100,50,50,100,100,51
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,75,38
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,60
20,20,20,19.98,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,40,100,50,50,99.99,25,58
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,0,100,45,50,100,100,49
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,59
20,20,20,0,20,20,20,20,20,20,0,20,20,20,20,20,20,0,20,20,50,50,50,50,50,50,50,80,50,50,100,100,56.5
20,20,20,20,20,0,20,20,20,20,20,20,20,20,20,9,20,20,20,20,50,50,50,0,50,40,50,100,50,50,99.99,0,57
20,0,20,11,7,20,20,20,20,20,20,20,10,20,20,20,20,20,0,20,30,50,50,50,0,50,0,100,50,50,100,40,57
20,20,20,8.6,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,35,50,50,25,50,0,0,100,20,2,0,0,54
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,27.89,50,50,100,50,50,60.16,0,49
20,0,0,0,0,0,14,0,0,0,0,0,0,0,0,20,0,20,20,20,50,50,50,0,50,32,50,95,50,50,100,100,59
0,20,20,20,20,20,20,0,20,20,20,20,20,20,20,20,20,20,20,20,30,50,50,50,50,50,50,100,50,50,75.17,100,52.5
20,20,20,20,0,20,0,20,20,9.5,0,20,20,20,4,20,20,20,20,0,50,50,47,32,50,10,50,100,45,16.5,100,25,44
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,51
0,20,20,20,20,20,20,20,20,20,20,20,20,14,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,55
20,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,58
20,20,20,20,20,20,0,20,20,20,20,20,20,0,20,0,0,20,20,20,50,50,0,0,50,50,0,100,50,50,100,50,50
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,58
20,20,20,20,20,20,20,20,0,20,20,20,20,20,20,0,20,20,20,20,50,50,50,50,50,50,50,100,50,50,99.18,100,61
0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,47.73,50,50,100,50,50,100,65,54
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,18,50,50,50,50,0,50,50,100,100,45
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,60
20,20,20,20,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,0,0,0,50,0,0,75,50,50,25,100,45.5
20,20,20,20,20,20,20,20,20,20,20,20,10,20,20,20,20,0,20,20,50,50,50,50,0,50,50,100,50,50,100,100,52.5
20,20,20,20,20,20,20,20,20,0,20,20,20,20,20,20,20,20,20,20,45,50,10,50,50,50,50,100,50,35,100,40,45
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,53
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,100,100,63
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,100,50,50,92.48,100,52
20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,20,20,0,20,20,45,50,50,50,50,50,50,100,50,50,100,100,56
